Subject,Audience,Author/Speaker,Reference,Link (if applicable),Content
Daily Practice,Old Students Struggling to Practice,Paul Fleischman,,,Don't use Dhamma to harm yourself
Kamma (Karma),Old Students,Bhikhu Bodhi,"Great Disciples of the Buddha”, pg. 374-5",,"There are some kammas so strong that their results cannot be resisted; they can only be lived through with patience and understanding. But since we do not know whether or not certain influences in our lives are the results of such kamma, or, if they are, how close they may be to exhaustion, it behooves us to strive against them. Apart from everything else, such striving has its own value. While it may appear in this life to be futile, ultimately it will bear fruit for our good. The immutable law of cause and effect ensures that no effort is wasted. Here, as elsewhere, the Dhamma urges us to set our face against every form of fatalism - that most enervating and paralyzing view of life - even in its most subtle guises. It encourages us to rise from our failures undaunted and ever ready to try again. Defeats there may be - bitter and heartbreaking setbacks in the battle against craving and ignorance - but the true follower of the Buddha is one who will never admit any defeat as final. Like an old and tried warrior, we must be prepared to lose every battle except the last, confident that by perseverance the final victory will be ours."
Kamma (Karma),Old Students,Author: Nyanaponika Thera,An Excerpt from “The Four Sublime States” Publisher: Buddhist Publication Society,,"What, now, is the nature of that insight? It is the clear understanding of how all these vicissitudes of life originate, and of our own true nature.
We have to understand that the various experiences we undergo result from our Kamma – our actions in thought, word, and deed.- performed in this life and in earlier lives. Kamma is the womb from which we spring (Kamma- Yoni), and whether we like it or not, we are inalienable “owners” of our deeds (Kammassaka). But as soon as we have performed any action, our control over it is lost: it forever remains with us and inevitable returns to us as our due heritage( Kamma-dayada). Nothing that happens to us comes from an “outer” hostile world foreign to ourselves, everything is the outcome of our own mind and deeds. Because this knowledge frees us from fear, it is the first basis of equanimity. When, in everything that befalls us we only meet ourselves, why should we fear?
If, however, fear or uncertainty should arise, we know the refuge where it can be allayed: our good deeds (Kamma-patisarana). By taking refuge, confidence and courage will grow within us – confidence in the protecting power of our good deeds done in the past; courage to performs more good deeds right now, despite the discouraging hardships of our present life. For we know that noble selfless deeds provide the best defense against the hard blows of destiny, that is is never too late but always the right time for good actions. If that refuge, in doing good and avoiding evil, becomes firmly established within us, one day we shall feel assured: “More and more cease the misery and evil rooted in the past. And this present life – I try to make it spotless pure. What else can the future bring than increase of the good?” And from that certainty our minds will become serene, and we shall gain the strength of patience and equanimity to bear with all our present adversities. Then our deeds will be our friends (kamma- bandhu).
Likewise, all the various events of our lives, being the result of our deeds, will also be our friends, even if they bring sorrow and pain. Our deeds return to us in a guise that often makes them unrecognizable. Sometimes our actions return to us in the way that others treat us, sometimes as a through upheaval in our lives, often the results are against our expectations or contrary to our wills. Such experiences point out to us consequences of our deeds we did not forsee; they render visible half-conscious motives of our former actions which we tried to hide even from ourselves, covering them up with various pretexts. If  we learn to see things from this angle, and to read the message conveyed by our own experience, then suffering, too, will be our friend. It will be a stern friend, but a truthful ad well-meaning one who teaches us the most difficult subject, knowledge about ourselves, ad warns us against abysses towards which we are moving blindly. By looking at suffering as our teacher and friend, we shall better succeed in enduring it with equanimity. Consequently, the teaching of kamma will give us a powerful impulse for freeing ourselves from kamma, from those deeds which again and again throw us into the suffering of repeated births. Disgust will arise at our own craving, at our own delusion, at our own propensity to create situations which try our strength, our resistance, and our equanimity"
Kamma (Karma),Old Students,Bhikhu Bodhi,"The Buddha's teaching on Social and communal Harmony, Page 5",,"Right understanding of the principle of Kamma has a decisive impact on one's conduct. When we realize that our own deeds eventually rebound on ourselves and determine our destiny in future lives, we will bemotivated to abandon defined mental qualitees and abstain from bad conduct. Instead, we will be inspired to engage in good conduct and develop whoelsome qualities"
Kamma (Karma),Old Students,Bhikhu Bodhi,"The Buddha's teaching on Social and communal Harmony, Page 14",,"...the Buddha declares that the essential factor in the creation of kamma is volition or intention (cetana), for it is the intention that imparts to the action its moral quality"
Kamma (Karma),Old Students,,,,"Atta hi attano natho, atta hi attano gati"
Mental Health,Old Students,,,,Dhammo have rakhati Dhammacari
Daily Practice,Old Students Struggling to Practice,Venerable Webu Sayadaw,The Art of Dying - Collected and edited by Virginia Hamilton,,"Do not waste the time you have left. This is the time for you to strive with energy and steadfastness. You can be sure that you will die, but you can't be sure how much longer you have to live. "
Kamma (Karma),Old Students,Buddha,"Angutatara Nikaya 10.216 (referenced from page 72) 
The Art of Dying - Collected and edited by Virginia Hamilton",,"O meditators, beings are the owners of their deeds, the heirs of their deeds, born of their deeds, lin to their deeds; their deeds are their refuge, Whatever actions they perform, whether good or evil, such will be their inheritance. "
Mental Health,Old Students,Sayagyi U Ba Khin,"(referenced from page 41) 
The Art of Dying - Collected and edited by Virginia Hamilton",,"There is no cause without an effect and there is no effect without a cause. The law of Kamma is supreme and inevitable. What you have now is the result of what you have done in the past. Until we get rid of the forces of kamma which belong to us, once and for all, and enter the supreme nibanna, there is bound to be some troubel or other, here and there, during the remainder of our existence, that we must put up with, using the strength of anicca. Anicca will surely prevail upon them and you will keep yourself in good stead in spite of all these difficulties., Anicca is power. Thorns in the way are inevitable. Make use of the power of anicca with diligence and peace will be with you. "
